"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"sport","Sarkit Souls","Geyik bayiri","sarkit","8a","2011-12-28","","","","onsight","turkey",""
"sport","Plastik fantastik","Geyik bayiri","magara","8a","2011-12-27","","","","onsight","turkey",""
"sport","Happy hour","Oliana","contrafort de rumbau","8a","2011-11-24","","","","onsight","spain","Barcelona"
"sport","Devora cordes","Laboratori","","8a","2011-11-19","","","","onsight","spain","Margalef"
"sport","El Capataz Incapaz","Chulilla","el balcon","8a","2011-11-13","","","","onsight","spain",""
"sport","El planeta Namec","Chulilla","algarrobo","8a","2011-11-12","","","","onsight","spain",""
"sport","Tequila Sunrise","Chulilla","balconcito","8a","2011-11-09","","","","onsight","spain",""
"sport","El Ramallar","Chulilla","pared de enfrente 058f9","8a","2011-11-08","","","","onsight","spain",""
"sport","La Perdonavidas","Catedral","","8a","2011-10-02","","","","onsight","spain","Margalef"
"sport","El guardiá","Culample4","","8a","2011-09-17","","","","onsight","spain","Margalef"
"sport","Carne de Birlocha","Somaén","cueva","8a","2011-09-04","","","","onsight","spain","Madrid"
"sport","La Milla Verde","Gratal","draco","8a","2011-08-26","","","","onsight","spain",""
"sport","La flamme eternelle","Céüse","berlin","8a","2011-08-14","A la derecha de Bouze de douze","A la derecha de Bouze de douze","","redpoint","france","Provence"
"sport","Grenzgänger","Voralpsee","voralpsee","8a","2011-08-11","#2go","#2go","","redpoint","switzerland","Zürich"
"sport","Alaska Kid","Voralpsee","voralpsee","8a","2011-08-08","","","","onsight","switzerland","Zürich"
"sport","Target","Lenh","mision miranda","8a","2011-08-04","","","","redpoint","switzerland",""
"sport","B. 41","Huesca","","8a","2011-07-26","muy buena de Beto","muy buena de Beto","","onsight","spain",""
"sport","Bouse de douze","Céüse","berlin","8a","2011-06-29","3 go","3 go","","redpoint","france","Provence"
"sport","L'ami caouette","Céüse","demi lune c8b9e","8a","2011-06-24","#2go","#2go","","redpoint","france","Provence"
"sport","Tan tiernas como bebés","Ca La Marta","","8a","2011-06-12","","","","onsight","spain","Margalef"
"sport","Mortal komba","Catedral","","8a","2011-06-11","","","","onsight","spain","Margalef"
"sport","Conformistas","Rodellar","las ventanas del mascun","8a","2011-05-31","#2go","#2go","","redpoint","spain",""
"sport","Código de marras","Cuenca","martin alhaja","8a","2011-04-28","","","","redpoint","spain",""
"sport","El Monstruo de las Galletas","Cuenca","martin alhaja","8a","2011-04-26","#2go","#2go","","redpoint","spain",""
"sport","China chana","Fuendetodos","manolodromo","8a","2011-02-08","#FA                Buena vía inacabada de oscar, je je je, la mas larga del sector, puede valer para 8a/a+ no? pd:Hay que cuidar a los colegas!!!! je je je","#FA Buena vía inacabada de oscar, je je je, la mas larga del sector, puede valer para 8a/a+ no? pd:Hay que cuidar a los colegas!!!! je je je","","redpoint","spain",""
"sport","N.N.","Masriudoms","masruidoms","8a","2010-12-14","De las de dentro de la casa la de la dere","De las de dentro de la casa la de la dere","","onsight","spain",""
"sport","The Legend","Military Wall","","8a","2010-10-20","#2go","#2go","","redpoint","united states","Red River Gorge (KY)"
"sport","Ment en blanc","Cova Soleiada","","8a","2010-10-02","#2go               Muy guapa","#2go Muy guapa","","redpoint","spain","Margalef"
"sport","Cita con el ñapas","Bentue","bentue","8a","2010-09-21","","","","redpoint","spain",""
"sport","N.N.","Espadelles","","8a","2010-09-10","combinacion de Victor hacia la organizadora, muy buena","combinacion de Victor hacia la organizadora, muy buena","","redpoint","spain","Margalef"
"sport","N.N.","Espadelles","","8a","2010-09-08","","","","onsight","spain","Margalef"
"sport","Raban","Vadiello","el muerto","8a","2010-07-25","#2go               Fácil para 8a, igual 7c+ duro nose.... ya se consolidara.....","#2go Fácil para 8a, igual 7c+ duro nose.... ya se consolidara.....","","redpoint","spain","Barcelona"
"sport","L'embrouille para L'embuscade","Bielsa","devotas","8a","2010-07-09","#FA                Al primer pegue, es la mejor conexión","#FA Al primer pegue, es la mejor conexión","","redpoint","spain",""
"sport","Aurore boréale","Bielsa","foz de la canal","8a","2010-07-08","#2go","#2go","","redpoint","spain",""
