"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"boulder","Super Blood Wolf Moon","La cova de l'ocell","esquerra","8C","2020-06-06","Sobre 8B+/C grado travesía, muy divertida con unos pasos duros en la mitad. Me salió sorprendentemente rápido :)","Sobre 8B+/C grado travesía, muy divertida con unos pasos duros en la mitad. Me salió sorprendentemente rápido :)","","redpoint","spain",""
"boulder","Papa Oso","Torrelodones","canibal","8C","2020-01-19","Olé! Después de 5 días puedo apuntarme este bloque de Beto! Muy divertido aunque una putada que la roca no sea muy buena... Me han partido bastantes cosas probando y me ha tocado cambiar de método varias veces. Entre 8b+ y 8c pero ni idea.","Olé! Después de 5 días puedo apuntarme este bloque de Beto! Muy divertido aunque una putada que la roca no sea muy buena... Me han partido bastantes cosas probando y me ha tocado cambiar de método varias veces. Entre 8b+ y 8c pero ni idea.","","redpoint","spain","Madrid"
"boulder","Soyuz","Zarzalejo","","8C","2019-03-26","Aun sin palabras despues de 8 sesiones con las yemas al rojo vivo y despues de demasiadas sesiones en la tabla de suspensiones... Mil gracias a todos! un sueño cumplido!","Aun sin palabras despues de 8 sesiones con las yemas al rojo vivo y despues de demasiadas sesiones en la tabla de suspensiones... Mil gracias a todos! un sueño cumplido!","","redpoint","spain","Madrid"
"boulder","Kaizen","Torrelodones","","8C","2017-11-07","Dios mio aun no me lo puedo creer! Gracias a este pico de motivacion y de fuerza! Hoy cansado y sin haberla probado nada más que dos días el año pasado, saco un pegue mágico en el que consigo clavar todo y encadenar. Grande Beto por esa FA. Dificil de graduar aunque con unos métodos nuevos que saqué y un nuevo reposo será algo más fácil a como lo hizo Beto, asique en mi opinion estará entorno al 8c/+ pero repetidores dirán. Supercontento! Ahora a seguir!","Dios mio aun no me lo puedo creer! Gracias a este pico de motivacion y de fuerza! Hoy cansado y sin haberla probado nada más que dos días el año pasado, saco un pegue mágico en el que consigo clavar todo y encadenar. Grande Beto por esa FA. Dificil de graduar aunque con unos métodos nuevos que saqué y un nuevo reposo será algo más fácil a como lo hizo Beto, asique en mi opinion estará entorno al 8c/+ pero repetidores dirán. Supercontento! Ahora a seguir!","","redpoint","spain","Madrid"
"boulder","Catalan Witness The Fitness","Cova del ocell","","8B+","2020-05-29","Linea increíble de Chris. Estuve cerca de hacer en el día pero al final me costó 3, ahora a seguir con el bon combat! Venga!","Linea increíble de Chris. Estuve cerca de hacer en el día pero al final me costó 3, ahora a seguir con el bon combat! Venga!","","redpoint","spain",""
"boulder","Charlotte","La Pedriza","","8B+","2020-03-12","Muy bonito de Beto. 2 días de trabajo + un rollo de esparadrapo jajaja","Muy bonito de Beto. 2 días de trabajo + un rollo de esparadrapo jajaja","","redpoint","spain",""
"boulder","Tolmojon","Tamajon","","8B+","2019-10-04","Oleee! Que buen apretón! Secuencia de Dave + rodilla que encontré en total 15 movimientos en los que varias veces me caí petado para ir al top jaja. Brutal!","Oleee! Que buen apretón! Secuencia de Dave + rodilla que encontré en total 15 movimientos en los que varias veces me caí petado para ir al top jaja. Brutal!","","redpoint","spain",""
"boulder","Explotacion artificial","Torrelodones","patoneros","8B+","2019-04-12","Con pieza rota primera repetición después de Beto que dijo 8C de travesía. Para mí entre 8b y 8b+ ahora pero no sé...","Con pieza rota primera repetición después de Beto que dijo 8C de travesía. Para mí entre 8b y 8b+ ahora pero no sé...","","redpoint","spain","Madrid"
"boulder","Abismo de Noa","Cave","","8B+","2019-04-07","Increíblemente brutal! Le añades un bloque a anubis. Al ""primer"" pegue.","Increíblemente brutal! Le añades un bloque a anubis. Al ""primer"" pegue.","","redpoint","spain",""
"boulder","Breaking pad","Tamajon","","8B+","2019-01-21","#FA                Blocon con el pasaco más duro que he resuelto en mi vida. Ni idea del grado ???","#FA Blocon con el pasaco más duro que he resuelto en mi vida. Ni idea del grado ???","","redpoint","spain",""
