ID,prediction,Years,MAX,RoutesNbr,OS,Flash,RP,Region,<6a,6a-6c+,7a-7c+,=>8a,Grade,13
0.6557632684707642,9,0.75757575,0.36363637,0.7619048,0.17662008,0.374,0.044,0.582,0.5576923,0.08108108,0.11580882,0.11378659,0.050970875,0.7575757575757576
0.6532710194587708,9,0.93560606,0.060606062,0.71428573,0.035154596,0.422,0.343,0.235,0.6442308,0.0,0.0,0.03871577,0.0012135922,0.9356060606060607
0.6651090383529663,20,0.96590906,0.4848485,0.7380952,0.22702245,0.455,0.03,0.511,0.66346157,0.0,0.005514706,0.24032106,0.015169903,0.9659090909090909
0.8436136841773987,26,0.7689394,0.121212125,0.75,0.019906819,0.417,0.01,0.583,0.58653843,0.0,0.0036764706,0.013692162,0.010315534,0.7689393939393939
0.7890965938568115,12,0.5265151,0.24242425,0.7619048,0.05082592,0.1,0.098,0.802,0.17307693,0.0,0.0036764706,0.031161472,0.032160193,0.5265151515151515
0.6626168489456177,29,0.125,0.33333334,0.7380952,0.52562475,0.537,0.08,0.382,0.009615385,0.0,0.0,0.5462701,0.05157767,0.125
0.6947040557861328,26,0.8484849,0.01,0.72619045,0.016518425,0.375,0.025,0.6,0.6442308,0.0,0.0,0.016525023,0.0030339805,0.8484848484848485
0.7380062341690063,26,0.9810606,0.24242425,0.7380952,0.14908937,0.326,0.056,0.617,0.7019231,0.0,0.0,0.14683664,0.025485437,0.9810606060606061
0.0,8,0.5984849,0.01,0.01,0.0,1.0,0.01,0.0,0.52884614,0.0027027028,0.0,0.0,0.01,0.5984848484848485
0.0,8,0.60227275,0.01,0.01,0.0,0.0,0.01,1.0,0.5769231,0.0027027028,0.0,0.0,0.01,0.6022727272727273
0.0,8,0.6060606,0.01,0.01,0.0,0.0,1.0,0.0,0.6730769,0.0027027028,0.0,0.0,0.01,0.6060606060606061
0.0,2,0.5984849,0.01,0.01,0.0,1.0,0.01,0.0,0.52884614,0.0027027028,0.0,0.0,0.01,0.5984848484848485
0.0,2,0.60227275,0.01,0.01,0.0,0.0,0.01,1.0,0.5769231,0.0027027028,0.0,0.0,0.01,0.6022727272727273
0.0,2,0.6060606,0.01,0.01,0.0,0.0,1.0,0.0,0.6730769,0.0027027028,0.0,0.0,0.01,0.6060606060606061
0.0,28,0.5984849,0.01,0.01,0.0,1.0,0.01,0.0,0.52884614,0.0027027028,0.0,0.0,0.01,0.5984848484848485
