,Years,MAX,RoutesNbr,OS,Flash,RP,Region,<6a,6a-6c+,7a-7c+,=>8a,Grade,ID,Prediction
116,4,8,22,0.223,0,0.777,6,0,0,12,10,7.522,116,29
117,5,7,97,0.134,0,0.055,1,41,53,3,0,6.012,117,10
118,2,6.2,21,0.8,0,0.2,20,14,7,0,0,5.93,118,0
119,2,7.05,26,0.24,0.04,0.72,3,11,12,3,0,5.655,119,22
120,1,6.25,10,0.2,0.3,0.5,47,3,7,0,0,6.12,120,23
121,4,8.05,64,0.055,0.117,0.816,9,1,0,58,5,7.203,121,29
122,4,7.1,74,0.03,0.505,0.464,2,30,33,11,0,6.22,122,2
123,2,6.25,41,0.618,0.095,0.287,0,34,7,0,0,5.71,123,0
124,2,6.25,23,0.35,0.062,0.588,6,13,10,0,0,5.85,124,22
125,1,6.2,68,0.529,0.294,0.176,48,51,17,0,0,5.85,125,13
126,4,7.1,146,0.439,0.076,0.473,6,79,55,12,0,5.95,126,0
127,1,7.25,7,0,0,1,49,0,0,7,0,7.19,127,17
128,5,7.1,80,0.321,0.44,0.222,20,44,31,5,0,6.024,128,2
129,7,8.05,93,0.179,0.059,0.705,0,0,5,79,9,7.2,129,29
130,7,7.05,144,0.114,0.297,0.589,47,97,43,4,0,5.773,130,23
131,4,7,99,0.371,0,0.629,7,56,40,3,0,6.11,131,22
132,13,8,193,0.261,0.306,0.432,1,47,85,60,1,6.415,132,28
133,3,7.25,155,0.344,0.126,0.52,50,0,24,131,0,6.953,133,9
134,4,8,386,0.275,0.128,0.598,41,0,240,144,2,6.442,134,18
135,3,8,56,0.363,0,0.637,51,0,3,52,1,7.093,135,9
136,2,6.2,36,0.294,0.154,0.551,25,20,16,0,0,6.065,136,22
137,2,7.25,51,0.226,0.071,0.703,20,0,5,46,0,7.095,137,29
138,1,6.1,33,0.485,0.152,0.364,52,28,5,0,0,6,138,13
139,9,8.2,121,0.1,0.098,0.802,18,0,2,66,53,7.533,139,29
140,3,6.2,48,0.389,0.141,0.443,53,36,12,0,0,5.91,140,13
141,2,7,11,0.15,0.1,0.75,54,1,8,2,0,6.285,141,23
142,5,8,108,0.234,0.107,0.55,55,8,40,58,2,6.774,142,9
143,2,7,45,0.6,0.238,0.163,56,21,21,3,0,6.11,143,13
144,7,7.05,269,0.481,0.257,0.26,57,144,118,7,0,6.061,144,19
145,5,7.05,70,0.453,0.059,0.488,58,27,35,8,0,6.21,145,13
146,1,6.15,1,0,0,1,59,0,1,0,0,6.15,146,17
147,1,7.15,1,0,0,1,60,0,0,1,0,7.15,147,17
148,14,8.05,180,0.296,0.054,0.65,61,11,70,87,12,6.802,148,9
149,10,7.25,187,0.499,0.054,0.447,62,32,79,76,0,6.421,149,26
150,1,6.1,2,0,0,1,63,0,2,0,0,6.1,150,17
151,4,6.1,67,0.438,0.392,0.171,64,64,3,0,0,5.26,151,19
152,1,6.1,1,0,0,1,65,0,1,0,0,6.1,152,17
153,13,7.25,290,0.341,0.273,0.386,66,31,169,90,0,6.312,153,18
154,2,6.1,3,0,0.5,0.25,67,1,2,0,0,6.05,154,16
155,14,7.15,111,0.276,0.061,0.662,68,1,2,108,0,6.941,155,9
156,1,5.2,1,1,0,0,69,1,0,0,0,5.2,156,24
157,1,5.1,1,0,1,0,63,1,0,0,0,5.1,157,5
158,1,5,1,1,0,0,55,1,0,0,0,5,158,24
159,1,5,1,0,0,1,60,1,0,0,0,5,159,25
160,1,5,1,0,1,0,70,1,0,0,0,5,160,5
161,1,6,1,0,0,0,54,1,0,0,0,6,161,10
162,17,9.1,656,0.348,0.042,0.605,71,3,1,217,435,7.793,162,20
163,9,9.1,782,0.29,0.111,0.599,67,0,0,308,474,7.55,163,20
164,20,9.2,1673,0.484,0.044,0.471,58,0,0,50,1623,8.098,164,1
165,24,9.1,1569,0.322,0.04,0.638,72,0,0,431,1138,7.872,165,1
166,17,9.05,1673,0.248,0.048,0.704,73,0,0,25,1648,8.073,166,1
167,12,9,480,0.472,0.135,0.393,74,0,5,269,206,7.555,167,20
168,3,9,59,0.036,0.035,0.929,75,0,0,0,59,8.11,168,8
169,8,9,336,0.038,0.044,0.918,76,0,0,23,313,7.925,169,27
170,15,9.05,467,0.307,0.124,0.569,62,0,0,192,275,7.727,170,20
171,19,9,333,0.07,0.084,0.846,77,0,0,89,244,7.911,171,27
172,17,9,361,0.197,0.124,0.679,71,0,0,170,191,7.616,172,20
173,11,9,510,0.231,0.096,0.674,61,0,53,221,236,7.555,173,20
174,10,9,100,0.047,0.076,0.878,75,0,0,0,100,8.102,174,27
175,11,9,97,0.057,0.018,0.925,58,0,0,8,89,8.015,175,27
176,15,9.05,318,0.213,0.032,0.755,62,0,0,24,294,8.051,176,27
177,4,8.25,43,0.041,0.05,0.909,78,0,0,16,27,7.645,177,8
178,14,9,326,0.005,0,0.995,79,0,0,0,326,8.061,178,27
